logged_at,model_p,actual_outcome,direction
2026-06-16T12:00:05.417402,0.001,0,equal
2026-06-16T12:00:05.543022,0.0113,0,equal
2026-06-16T12:00:05.670264,0.0631,1,equal
2026-06-16T12:00:05.809426,0.1884,0,equal
2026-06-16T12:00:05.934160,0.0671,0,equal
2026-06-16T12:00:06.058480,0.2046,0,equal
2026-06-16T12:00:06.191397,0.0929,0,equal
2026-06-16T12:00:06.313890,0.0247,0,equal
2026-06-16T12:00:06.442261,0.001,0,equal
2026-06-16T12:00:06.569060,0.001,0,equal
2026-06-16T12:00:06.695333,0.0619,0,range
2026-06-16T12:00:07.574531,0.0448,0,range
2026-06-16T12:00:09.101594,0.0824,0,range
2026-06-16T12:00:09.278734,0.0793,0,range
2026-06-16T12:00:09.419496,0.1219,0,range
2026-06-17T12:00:08.390557,0.0121,0,equal
2026-06-17T12:00:10.658636,0.2882,1,equal
2026-06-17T12:00:10.830826,0.1387,0,equal
2026-06-17T12:00:11.045471,0.0423,0,equal
2026-06-17T12:00:11.203619,0.2082,0,equal
2026-06-17T12:00:11.968994,0.1019,0,equal
2026-06-17T12:00:12.132769,0.001,0,equal
2026-06-17T12:00:12.275629,0.0051,0,equal
2026-06-17T12:00:12.411186,0.066,0,range
2026-06-17T12:00:12.552626,0.096,0,range
2026-06-17T12:00:12.691347,0.1563,0,range
2026-06-17T12:00:12.833718,0.0787,0,range
2026-06-17T12:00:12.958232,0.1709,0,range
2026-06-17T12:00:13.096556,0.021,0,range
2026-06-17T12:00:13.243838,0.0647,0,equal
2026-06-17T12:00:13.373900,0.001,0,equal
2026-06-17T12:00:13.520048,0.2328,0,equal
2026-06-19T12:25:30.660785,0.0755,0,equal
2026-06-19T12:25:30.777550,0.3405,0,equal
2026-06-19T12:25:30.898883,0.146,0,equal
2026-06-19T12:25:31.075462,0.0288,1,equal
2026-06-19T12:25:31.192789,0.001,0,equal
2026-06-19T12:25:31.314861,0.0622,0,equal
2026-06-19T12:25:31.432029,0.1638,0,equal
2026-06-19T12:25:31.557281,0.1785,0,equal
2026-06-19T12:25:31.678297,0.001,0,equal
2026-06-19T12:25:31.794445,0.0184,0,equal
2026-06-19T12:25:31.913877,0.2038,0,range
2026-06-19T12:25:32.033996,0.002,0,equal
2026-06-19T12:25:32.162325,0.4523,0,equal
2026-06-19T12:25:32.289354,0.0024,0,equal
2026-06-19T12:25:32.409153,0.1031,0,equal
2026-06-19T12:25:32.524756,0.001,0,equal
2026-06-19T12:25:32.635746,0.0765,0,range
2026-06-19T12:25:32.752981,0.5226,0,range
2026-06-19T12:25:32.867394,0.0662,0,equal
2026-06-19T12:25:34.592644,0.0711,0,range
2026-06-19T12:25:36.950515,0.1081,0,range
2026-06-19T12:25:37.101415,0.1243,0,range
2026-06-19T12:25:37.220966,0.0208,0,equal
2026-06-19T12:25:37.384258,0.0778,0,equal
2026-06-19T12:25:38.342850,0.0086,0,equal
2026-06-19T12:25:38.803321,0.001,0,equal
2026-06-19T12:25:39.157802,0.0125,0,equal
2026-06-19T12:25:39.531429,0.0179,0,equal
2026-06-19T12:25:40.049792,0.0353,0,equal
2026-06-19T12:25:40.376528,0.0914,0,range
2026-06-19T12:25:42.334602,0.0605,0,range
2026-06-19T12:25:44.701026,0.1229,0,range
2026-06-19T12:25:44.815575,0.1168,0,range
2026-06-19T12:25:44.944953,0.1058,1,range
2026-06-19T12:25:45.071878,0.0539,0,range
2026-06-19T12:25:45.871071,0.0907,0,range
2026-06-19T12:25:45.990037,0.1061,1,range
2026-06-19T12:25:46.118720,0.0357,0,equal
